	Too vague.  Begs the issue of when an agent has goals, e.g. does a thermostat really have a goal.	Too long, not really a definition.	Too long, not really a definition	Goals	Not sure how to decide if something has foresight, or if that should be a defining characteristic.	Both vague and narrow	Might as well say "ability to do a lot of stuff"	
I don't believe that intelligence -- natural or artificial -- can be  reduced to computation.	A chicken's intelligence can figure out how to  cross the road, but it needs legs or wings to achieve the goal of getting to the other side.  Intelligence is not enough.          		We need to divide in order to conquer			I don't understand "best".	I don't understand the question.	
Requires reason and it shouldn’t. Re. Brooks.		Too many intermingled concepts.	Anthropocentric. 	Replace "computational resources" by "energy over time"	Remove "foresight"; "appropriately" is too vague.	Needs rationality, too big a condition.	Anthropocentric.	Anthropocentric.
We could understand something without necessarily being able to build or simulate it. I think that AI as it is currently understood has to include the building of the system, not just the understanding of the human aspects of intelligence.	This essentially says that it intelligence is general. This is a very important dimensions to consider, especially in the face of the current movement to rebrand ML as AI.		I would note that we need to consider how an AI works with inputs that are not accessible to humans, e.g. learning from reading the entire web.		This misses any statement about goal formation, intention, etc. An ant can 'function appropriately'.	Adjectives like 'best' bring a certain type of judgment to the proceedings. Many agents that we consider intelligent do not make the 'best' possible actions.		
AI comprises the study of the computations that make it possible to perceive, reason, and act. Other elements would involve e.g. group action	Surely it's part of the picture, but doesn't tell us anything what it consists of.	rely on finite processing capacity -- the universe is finite, so this is trivial; "real time" -- you mean what? could swarms of robots act intelligently on cosmic scale? learning -- make sense. but the learning could be on a group level 'relative rationality' -- sound like an empty phrase	It gives concrete goal for AI research; but until proven otherwise there could be other forms/types of intelligence. 	It should be part of definition. Where's collaboration.	Not ambitious enough. E.g. artificial alligator would do. 	Adaptation sometimes requires a random action, not rational from individual agent's point of view. 	I like "natural and abstract domains.”  I don't like the focus on 'information-processing' -- this is too limiting e.g. the challenge might be to cleverly use your body, which I would put into the typical 'information processing' bucket	Too vague... what ranges do you have in mind?
Core to AI are reason, perception and action	Why focus on goal achievement?	Why limit AI artificially?		This is gobbledygook	What is "appropriately"?	What is "rational"?	Why be limited to human intelligence?	Why make AI subservient to humans?
								
		Defining intelligence in terms of rationality.				Defining intelligence in terms of rationality.		
	"Week" (i.e. field/task specific intelligence) is still intelligence		Even for humans there are many different "types" of intelligence					
This defines the AI research enterprise but it avoids trying to quantify "intelligence"	I would agree if the phrase "in a wide range of environments" were deleted. Intelligence need not be general or broad to be intelligence. We have many examples of narrow intelligence that are still "intelligent". DeepBlue or AlphaGo are clearly intelligent in the narrow sense.	The problem with this definition is again it would exclude DeepBlue or AlphaGo. If we changed the rules of Go, AlphaGo would probably fail badly (although with human help it could be retrained to do well). The point is that AlphaGo was behaving intelligently at a particular moment in time. Let's use "life" as an analogy. No one denies that dinosaurs qualified as being alive even though they were not able to adapt to subsequent climate change.	There are two problems with this definition. First, there is AI research on highly non-human forms of intelligence (e.g., theorem proving, solving giant constraint problems) that by definition is not co-extensive with human intelligent behavior. Second, "human level" literally means matching human performance but says nothing about breadth. There are many interesting research questions about how to achieve human-breadth AI, but in fact hardly anyone in AI is working on those questions.	This is pretty good. It could be applied in narrow domains simply by using a narrow prior distribution, so the adjective "general" is not needed and maybe not appropriate. Computational limits must be considered, but it is not obvious how to "normalize" by them. In my experience, we typically have a computational budget we must live within.	I very much like the first clause. The second one is too vague to be useful. It assumes that the environment is changing but in a predictable way. That is not always true.	I also like this definition, but it doesn't deal with computational limitations. It also relies on definitions of "rational" and "best possible", yet these are notoriously difficult to define.	This is a goal of many researchers. It emphasizes breadth and "human level". But  as I've argued above, we can have narrow and super-human intelligences that also count as intelligent and as forms of AI.	This is an application of AI, but it is not the definition of the field.
								
I don't think mere perception or action should qualify as artificial intelligence.	This is on the right track, but the notion of learning is missing. An agent is not intelligent if it is merely exhaustively pre-programmed to achieve its goals.	I like this answer but think it is a little heavy on moralizing about computational requirements and real-time results. An apparatus's accomplishments should be viewed in light of its size, but I would gladly accept a moon-sized, molasses-slow supercomputer as intelligent if could prove new theorems independently.	I don't think merely reproducing the existing capabilities of humans is the goal for AI.	This definition also misses the concept that ability to learn contributed to intelligence. With enough tape we could hard-code anything to satisfy the above requirements.	Intelligence is more than the capacity for survival in an environment. Slime mold is also the culmination of 1.3 billion years of evolutionary selection: is it intelligent?			
1. explicit mention of computation. 2. perception, reasoning and action are at the core of computation for individual agent success and survival. These are amenable to inclusion in definitions of both biological and synthetic intelligence	Vague and incomplete; teleological behavior is necessary but not sufficient for attribution of intelligence	The principle of "Bounded Rationality" is a fundamental building block for AI, but it is a constraint based on pragmatic considerations, not a definition.	Anthropomorphic systems are fine, but that is not inclusive of the range of all possible systems to which we would attribute intelligence. 	Too narrow and specialized.	Close.  I like "making machines intelligent" because the engineering of intelligent systems is a key differentiator of AI from philosophy and cognitive science.	Intelligence is much more than  rationality.  Reasonable intelligences may disagree on what is "best" in any particular situation.	Human intelligence is one kind of intelligence. It provides a benchmark.  The word "matching" is vague. It is task, situational and individually determined.	That is a nice requirement for an intelligent system, but not a definition.
The definition includes necessary aspects but does not sufficiently address the importance of memory and motivation.	I believe "measures" is too strong - predicts would be more to my liking.	The description is too contrived, not worth fixing.	This would seem to me to be a reasonable "initial" goal.  There is no reason that the pursuit of computationally intelligent behavior should be constrained by the limits of human intelligent behavior.	These look like somebody's textbook definitions for which I have little interest.  Performance metrics for intelligent behavior should indeed be developed, but certainly time and time limitations as well as input/output constraints and context are a few additional considerations that I believe should be explicitly included in any attempt to define "efficient" intelligent behavior.	Too narrow and incomplete a definition.	Some would equate "rational action" with "intelligent action", so the first sentence is a bit tautological to me. One could argue the truth of the second sentence as well - "best possible" probably does not mean the same to everyone.	This is a good chunk of the definition, but not complete.	Interesting - more of an operational definition than a descriptive one, still it only captures part of the concept of machine intelligence.
with the concept of human cognition,  machine is able to perceive, act the things effectively								
AI includes the mentioned but also includes more	The explicit goals are product of the intelligence, not its definition	Many non-intelligent machines may do these things. Also many non-intelligent animals.	The humans are intelligent, so I agree with the first sentence - if a machine exhibit the full range of...[...], it would be intelligent!	No, no, again goals! The intelligence is not about goals!	Reasonable, but not full definition.	Strongly disagree!	I agree with all mentioned, but there is more; this is not a full definition.	This is a definition of a robot, not of an AI.
Like: avoids harmful restriction (at the cost of allowing non-AI?). Dislike: interaction machines (as being expressive beyond a single Turing machine) are only covered when computations are perceiving and acting among each other as well as with reality. 	Goal orientation is too restrictive. I consider this to be a harmful view because (important types of) intelligence that is not goal-driven scales and integrates better (by multiple orders of magnitude). Smart cities, power grid, transport and traffic systems, ... require solutions at scale that are unattainable by goal seeking  intelligence on its own. Among others, such goal-focused intelligence keeps too much information private, preventing single-source-of-truth designs.  I agree on the "a wide range of environments" part. Coping with such a wide range is hindered by goal seeking.	Avoids excessive restriction by the wording "the essence" which leaves room for other aspects, views. Lists the shortcomings of early AI looking at real-world concerns. 	Like and dislike: it is an ultimate objective that provides direction but will never be achieved in full. Dislike: does not incite to search for a wide variety of intelligence that does not aim to achieve something specific. Does not elaborate on human cognitive capabilities along the axis "common sense and wisdom" >> "savant (autistic with specific skills)".   	Goal achievement is too restrictive in a harmful manner. 		Focus on making choices is too restrictive. This restriction is really harmful, only serves certain academic agendas. Causes scale-ability and integrate-ability issues. 	The objective that provides an aiming point that never will be reached in full. Missing: the present state of affairs only achieves savant human intelligence (autistic). Common sense is not even a key/main topic of the AI community?	Optimal is too restrictive to the extent that it is harmful. 
I have published a benchmark for intelligent agents that minimally includes these and other cognitive capabilities (Fox et al, AI Communications 2003)	Because the goal of cognitive science generally is to understand how agents can cope with this problem and to provide a unified theory to support design of such capable agents.	A general theory of intelligence should explain why and how intelligent agents fail, or produce sub-optimal performance, and guide the development of solutions to mitigate these issues. 	This could be a general goal of the field but not necessarily the goal of every practitioner or researcher.		See earlier comments.	No, this is overstated. Success criteria do not need to demand perfection but only acceptable/adequate results in the circumstances facing the agent.	I agree but its setting the bar very high, and failure risks bringing the field once again into disrepute unfairly. 	Machine intelligence INCLUDES this ability but may not involve interaction with humans in any direct way at all.
		What I like from this definition is the lack of comparisons with human beings. Artificial Intelligence should be whatever it is on its own behalf. That's good. However, I did not find the tasks (mostly problem-solving, knowledge management and learning procedures) complete enough as long as we do plainly ignore what is required to achieve true AI (in this regard, I'm more than open to the idea that other skills are required)	agreed! no optimal behavior is required but I do entirely dismiss any comparison with human intelligence. It is obsessive and unnatural to relate "artificial intelligence" to "human intelligence" and I think the sentence: planes fly but they do not do it as a birds actually captures this difference. There is no point in imitating birds as there is no point in imitating human intelligence. The objective should be serving the same goals fulfilled by human intelligence (say perceiving, reasoning and acting) but by no means in the same way we human beings do.					This is one among various services to be provided by AI
This answer is too restrictive.	It's general enough to apply to most forms of potentially intelligent systems (including human).	It's too specific and is biased towards a certain approach to AI.	Let's not constrain intelligence with human intelligence. That's much more interesting in CogSci but not AI. There is more to intelligence than human intelligence.	Again, too specific and biased.	Ditto. 	Ditto.	Again, there is more to intelligence than human intelligence. At least, I hope so.	
		Why should real time processing be necessary? It can take humans a long time to process, contemplate on, and learn from with certain situations. Similarly, for learning from experience. Humans can learn much from formal, non-experiential, channels.	I believe domain specific intelligent systems can, and should, be classed as AI.				I'm not sure AI needs to be general.	
I suggest to add perceive, reason, act and react	 modern AI focus on development and evolution within dynamic environments, 	finite capacity draws limitations to the growth of intelligence	should not only focus on human intelligence, there are other different types of intelligence like animal intelligence, nature intelligence and all other evolved forms of creatures' intelligence 	if an agent cannot achieve its goal, its success rate is very low has to be redesigned completely	it would be fantastic property even for human intelligence	it should not be limited to its own best action, we need agents that are able to improve the learning process from other agents and situations   	not enough to match human intelligence	it would be nice, but we need more than guidance
								
			Humans are also intelligent in principle. It's in fact weird to see a human acting optimally. Every human is biased by its relatively short knowledge.			As said above, humans don't normally make optimal decisions and they have been defined previously as intelligence.		
						This begs a definition of "best."		
Better if "study of the computations" were replaced with something more along the lines of "an agent being capable of".	too simplistic (yes, aware of Occam's Razor)	Good points but needs to be more succinctly phrased.	Better if we begin with "An artificially intelligent system exhibits the full range...".  	Too constraining.	Too simplistic.	First, who defines "rational action"?  Often an "intelligent act" will seem irrational.  Second, this "definition" is limited in scope to actions and situations.  ...and lastly, who defines "best possible"?	No reason, it just sits well with me.	This is perhaps more a goal than a definition.
independent of substrate	some people might interpret goals restrictively	this is only one form of intelligence	relative to humans rather than implementation-independent					
								
Many technologies that enable machine perception, reasoning, and action are no longer considered Artificial Intelligence; they are their own topics (for example, Computer Vision).	The term Intelligence, like the term Race, is a fiction based on past biases rather than objective evidence. I'd prefer to talk about behavioral complexity rather than some as-yet-unidentified internal process.	This definition is biased by current research challenges. The definition should encompass technologies that have been considered AI in the past (such as simple feedback systems or neural networks) but are no longer considered AI.	The goal of automation has always been to exhibit behaviors that humans exhibit (such as assembling the parts of a car), but exceeded human capacity in some way (for example, stamina, strength, number of errors, energy consumption).	I don't see the pragmatic value in a general definition of intelligence, either to direct academic research or to define requirements for products.	Attempts to define intelligence rather than focusing on specific complex behaviors.	Reduces the term Intelligent to simply Optimal.	Limited by today's research topics and approaches. I don't see why a machine should approach behavior in anything like the ways humans do (reasoning, planning, plan revision).	Interesting approach, but the terms Rational and Unbiased seem needlessly limiting. The definition is fine without them: I don't see why a machine should not give a human an irrational, biased guidance that enabled the human to succeed. Irrationality and bias become prominent as we move into creative endeavors - imagine a machine designed to assist human artists to explore new ideas.
At some point in operation, a system's intelligent behavior may require "higher" level "reasoning", e.g. based on moral values and principles, that sheer logic-based implementations completely seem to bypass. Therefore the definition should instead say "...computations that make it possible to perceive, reason, judge (based on higher criteria) about outcomes of multiple such reasoning outcomes and act accordingly or choose not to act".		Again, same comment as on the previous item. Intelligence must be provided with a higher layer of "emoting" approaching what we humans call "values" or "overriding moral & ethical principles".	Depending on the application this statement may be or may not be true. It may not even be desirable. On some occasions we do expect an optimal solution. On other occasions we expect the system to be capable to deal with unknown metaconditions. One cannot generalize this way.	Yes, provided the application domain is very limited and well defined. If I expect a face recognition system to classify an input file properly is one thing. But if an autonomous car must decide whether to kill a pedestrian to save my passenger's life instead of saving the pedestrian but kill me in the car by causing a horrible accident, is a completely different discussion.	Foresight here is interpreted (at least by me) as an approach to what I called earlier ability to deal with "metaconditions".	Ideally means what? Not always possible. And "best possible" means what? It depends from which angle one looks at a specific situation. Confer with the example of an autonomous car I mentioned on item 5, where the choice a human would make is morally induced and not necessarily always a rational one.	Yes, but I would skip the word "matching". Humans don't act based on reasoning only! There are higher layers of personality, ambitions, fears, aspirations, imagination, desires, beliefs, intentions, etc. that may interfere in a complex way on multiple decisions. It again requires limiting the AI definition to an applicability domain.	
To describe AI as the "study of the computations.." is too narrow, since it does not include the philosophical issues involving intelligence	I believe that intelligence is not restricted to achieving goals	Basically agree, but knowledge is not always insufficient	"Full range"  is asking too much	Definition is much too complicated.				Humans seldom use "rational" guidance to achieve optimal or suboptimal outcomes
								
self-learning and knowledge acquisition 	adaption	adaption is fine, but finite capacity and real time is too restrict	general purpose system is too big. Genetic algorithm for vertical problem is fine. 	vertical goal, don't like to include the computational resources.			adaption and reasoning, but general intelligence is too free, not specific.	MI is unbiased? Come on. Every supervised ml is biased by the labeled data.
								
"computation" might be too narrow here. I rather stick to "processes".	"goal" oriented behavior is a very narrow view of intelligence		very disembodied	narrows the definition to a particular set of tools to study the general problem, i.e. probabilities, and probably Bayesian.	vague! "function appropriately"? very subjective.	assumes "best" not circumstantial...	vague. kicks the ball further: "common sense"? what's the definition of that?	
			it is not necessary to think only about humans; many animal behaviors are of interest too					
								
I believe that understanding what computations are required to perceive, reason and act is an important part of the study of intelligence in general, though not necessarily the whole part, as there may be more (or less) to intelligence than perceiving, thinking and acting, and those processes in humans may or may not ultimately be fully describable as computation.	Achieving goals in a variety of environments is a behavior one might expect of an intelligent being, and conversely seeing a being achieve goals in a variety of environments might cause one to attribute to it intelligence. They may not be completely overlapping, however, as some attributes of intelligence (such as introspection) do not always seem related to goal-seeking, and occasionally "less intelligent" people can out-perform "more intelligent" people at tasks requiring practical application of knowledge.	Adapting to an environment with limited knowledge and resources is not necessarily the "essence of intelligence", but it is a good outcome one might expect of an intelligent system, and it this is a concrete and operationalized breakdown that would promote further study along these lines.	This is an evidence-based definition remarking on a number of properties found in humans to which we attribute intelligence, and as such has the most potential meat so far in providing avenues for research and investigation.	This is a reasonable though restricted definition of intelligence which might be useful for helping motivate problem solving or decision theoretic research; however it is likely to be too restrictive to encompass all the definitions lying behind the use of the word intelligence when applied to humans.	This hedges the definition of intelligence slightly, but remains clear, so it is even more useful as a definition of a field, as it makes the goal of the AI field clear while being open to further discoveries that would refine the specific definition of intelligence (hopefully, as an outcome of the work in the field).	This is a good description of the t	This describes the goal of AI well: creating machines that do a variety of specific things that if we observed them in humans, we would ascribe to them intelligence.	This is a myopic, application-based "definition" focused around one specific subarea of AI: mixed-initiative systems. Yes, we might say that an agent that can guide humans in a rational way is intelligent, but no-one should say that machine intelligence "is" this. A cognitive architecture that simulates twenty million neurons of the human brain to perform a pick and place task might be described as machine intelligence, but there's no notion of guidance or service in this system, as there are not in many other reasonably described systems.
I don't see the relevance of 'perception', which I'd say is inherently subjective	I can think of agents that are highly 'fit' for a wide range of environments but that would not be considered highly intelligent (insects, viruses etc.)	This seems more like I would mean by intelligent, but the definition is so broad  that it may not be useful	same as above	same as above. I'm also not sure why intelligence requires normalization 	Again, I would say that this is broad to the point of not being useful. However this definition is at least short and easy to convey	There are countless examples of irrational behaviors in humans and animals, so I don't think rationality is at the crux of it.		
this is a good start, but too vague, the problem is merely being pushed off on to the definition of perception and reasoning, even action has a huge range of possibilities.	I would add that it needs to do this fairly independently and repeatable					This bar is too high. 	This bar is too high, are dogs not intelligent? Or birds? Machine intelligence does not need to be equivalent to or similar to human intelligence. It needs to be independent and have the ability to learn and reason and plan in complex situations. 	that is one possible purpose or use of machine intelligence, it need not be the only goal
At the machine level, perception, reasoning, and acting are the major tasks that needs to be done autonomously			I think it is foolish to make machine intelligence equal to human intelligence. What we need are machines that would make life easier for humans, and it could be achieved by granting them some form of intelligence. Broad competency, I believe, is not necessary. Machines are generally meant for specific tasks. 			Rationality based on what? If by rationality you mean logic, then this kind of definition could create trouble for actions that require moral decision. 	Machine intelligence does not have to be the same as human intelligence	
								
A chess computer perceives, reasons, and acts, but calling it "intelligent" makes the term "intelligence" almost meaningless.	"Measures" is critical. If the goals are ambitious and have not been foreseen by the designer of the agent, and if the range of environments is wide, even unbounded - then, I think, I'd be ready to call the agent "intelligent". All systems in existence today would rate very low on this intelligence scale.	This definition is vague in many ways, but as I understand it, I quite like it because it emphasizes the open-endedness I brought up in my answer to the preceding question.	I disagree with the first sentence. I don't think an AI system needs to exhibit the full range of human cognitive capabilities, and I don't think we can even define this range. The rest emphasizes broadness, but appears to apply to closed, fixed domains (unless the "learning" is intended to break this limitation).	As I understand this definition, I can define a specific distribution over goal and environment space, design an agent that solves all goals in all environments that occur with >0 probability (which may be a quite narrow range), and this agent would qualify as intelligent according to this definition.	Far too vague. Many existing systems would qualify as intelligent according to this definition.	Far too vague. Many existing systems would qualify as intelligent according to this definition.	This definition, and my reaction to it, are much like Question 4.	This is more wishful thinking than a statement about what AI should be capable of. I do not think it is possible to build a machine that can provide "rational, unbiased guidance" because this would require perfect knowledge of the situation, of the available data, of the possible consequences of the advice given, etc., as well as a perfect algorithm. This is totally elusive. The best we can hope for is data-driven methods, and data (directly or indirectly) generated by humans always reflects human biases, plus more.
		too long / unclear	too long / unclear			rationality is neither necessary nor sufficient for intelligence	any definition that relies on terms like "common sense", "effective ability", "complex ..." only shifts the problem to defining those terms	
The definition incorporates concepts of embodied cognition and goes beyond brain-centered definitions of cognition		Adaptation to the environment is key concept in intelligence.		The concept of computational resources limits this definition.	Limited to prediction without the adaptive  and the behavioral components	Too mechanistic		Autonomy concept is missing
I think it is a reasonable definition	It does not capture the whole essence of the concept							
								
One can define a term. It is good to have it written. But AI term is an economic institute to create malformed technical project definitions - see its initial coinage. (In 1958 Marvin Minsky and John McCarthy founded the Artificial Intelligence Group at MIT.)	You give a definition. AI is a buzzword.	You give a definition.  AI is a buzzword.	There is non-human intelligence.	Pragmatic means " relating to matters of fact or practical affairs often to the exclusion of intellectual or artistic matters :  practical as opposed to idealistic ", see e.g. Merriam-Webster dictionary	You give definition.	You give definition.	To "match" all is not possible due to quantum physical effects.	You give definition.
This doesn't over-reach and focuses on the intended outcome.	Achieving goals is an important aspect, but "intelligence" simpliciter would also include goal-setting.	This omits goal-setting.	Pretty good, but omits task- or domain- specific systems.	Pretty good. But where do goals come from?	Nearly circular	"Best" defined how?	Again, this omits domain- or task-specific systems.	I like the inclusion of humans, but now there is little autonomy in the definition.
	Intelligence is not restricted to task completion. Btw what goals are relevant?	The reasoning/learning aspect is missing.	Intelligence is not restricted to human. AI is not restricted to computers.	Intelligence is not restricted to task completion. Btw what goals are relevant?	AI is not an activity but a field. The reasoning and acting aspects are not really exposed.	Why only one maximum? Why the maximum should be chosen? On what criteria the maximum is chosen?	Intelligence is not restricted to human beings!	Intelligence is not rationality. Human service is not at all a goal of intelligence! This is the worst definition of this list.
It misses the raison d'etre for intelligence, focusing instead on some artificially delineated anthropomorphic concepts.	The "wide range" should be restricted to physically possible environments. This definition has been (ab)used to argue that an AIXI agent is intelligent, even though it can only work in a wide range of nonsensical environments.	This goes to the crux of intelligence: handling limited resources. As soon as we imagine any resource of an agent to approach infinity, this agent can get away with performing exhaustive search, which makes redundant everything we associate with intelligence. QED	All of this is implied by Def.3 and thus redundant.	No need to bring in distributions and normalization	This makes us none the wiser	This is a definition of optimization, not intelligence.	Misses the crux: handling limited resources.	This is a definition of AI-driven tool usage, not of intelligence per se.
This definition is poor because it doesn't provide a quantitative definition of intelligence that can be measured objectively.	This definition is incomplete, because intelligence must also decide on its own goals, not just execute toward them.	This definition is poor because it lists several symptoms of intelligence (adaptation, tolerant of partial observability, learning, etc.), but does not identify a single unifying "root cause" of those symptoms.	This definition is very poor, because it is proudly human-centric and precludes -- without motivation -- the possibility of "alien" intelligences that do not resemble our own.	This definition is incomplete, because intelligence must also decide on its own goals, not just execute toward them.	This definition is exceptionally poor, because it is circular: "artificial intelligence" = "intelligence" = "appropriate functioning" + "foresight".	This definition is exceptionally poor, because it is circular: "intelligence" = "rational action" = "best possible action".	This definition is exceptionally poor, because it is circular: "intelligence" = "common sense".	This definition is exceptionally poor because it proudly defines machine intelligence as subservient to humans, precluding the possibility of machine intelligence resembling humans that are not subservient to other humans.
								
Seems clinical and a step or two removed from what AI actually is.	Reactions to changing and unpredictable situations seems to be a core element of intelligence.	Why "finite processing capacity"?			I think AI is the thing, not the activity/process involved in making the thing.	What is "best"?  It is going to depend on your point of view, goals, etc. etc.  And sometimes there is no "best". How would an AI respond to the choice made in Sophie's Choice? A choice had to be made, and both choices were equally bad.		This feels a bit friendlier to humanity than turning over all decisions to machines.
								
The 3 attributes given (perceive, reason, act) are reasonable choices. The definition is weak, however, in that it is describing attributes rather than the essential nature of intelligence.	I still agree that this is an attribute of intelligence, but this is an even weaker definition than #1 above.	The given attributes get much closer to the heart of the problem. Limited resources and partial observability are an important part of the problem description.	I disagree that humans should be the benchmark of intelligence. However, it is a worthy goal to try to match human intelligence.	The vague allusion to a probabilistic formulation aside, this definition touches on the job intelligence must do (achieve goals in an environment), which I believe approaches the more fundamental issue. The notion of working with limited resources is important.	This is a somewhat circular and weaker form of #5.	I agree that agents should act rationally. The definition would be better if it mentioned limited resources and partial observability, as #3 and #5 above do.	While I agree with the given attributes, this is again merely a list rather than an essential definition.	Whether it helps humans or not is irrelevant to the nature of intelligence.
								
								
				Too generic and vague	Distinguishes artificial intelligence from intelligence - but they are not distinct: AI is a form of intelligence.	Probably too subjective of what is optimal in such a generic description of AI		This of course entails some danger: who defines "unbiasedness"? 
								
A bit narrow and a bit unclear	Interesting but seems focused on general-purpose	The first sentence was great, not sure after that	It's not really a definition and I disagree that is the goal of AI 	Again seems focused on general-purpose AI 	Not bad but vague	Kind of saying it's all about optimization, not sure that's true	Most AI is special-purpose not general-purpose	Not sure about "optimal" but it makes sense to me
								
Missing any notion of quality of perception, reasoning, or action					Appropriately is too vague		Missing notion of data efficiency, but otherwise good	
								
Incomplete; there is more than just those three elements	Too restrictive	Too restrictive	The goal(s) may include exceeding that range	Confusing verbiage	Intelligence sometimes inhibits appropriate function	Some aspects of intelligence explain irrational action as meaningful and reasonable		Misses many aspects of "intelligence" that aren't unbiased or rational
The concepts "perceive", "reason", and "act" are not clearly defined.	This is better but you could have "intelligence" in a narrow range of environments as well. So, for example, you can have a "smart pencil sharpener" which knows how to sharpen different types of pencils. It is intelligent within its narrow ecological niche.	This definition of intelligence focuses on a particular type of intelligence.	This is an acceptable definition of "artificial intelligence" from a Strong AI perspective but I don't think it is a good definition of "artificial intelligence" as currently practiced and defined by the AI community.	Assumes a particular type of artificial intelligence.	First part of definition is circular. Second part of definition is ok if you delete "foresight".	This seems reasonable to me personally but it’s not technically the definition of artificial intelligence.	This is an acceptable definition of "artificial intelligence" from a Strong AI perspective but I don't think it is a good definition of "artificial intelligence" as currently practiced and defined by the AI community. 	Too specific.
There is no sense of scope or articulation of what qualities the reasoning and selection of action must fall within to be considered artificial intelligence.	Vague - what types of goals? What range of goals? Must this include unanticipated goals and environments?		Risks ultimately just reducing back to definition by mimicking humans...		So simple as to note really be useful - this seems to just shift the problem to defining "appropriately".		I am not sure the inclusion of the phrase "common sense" is helpful	
The word "act" is what sells it for me. I work in machine learning and describe what I do as "making machines behave appropriately in human-like situations" because I want to explicitly avoid questions of consciousness, subjectivity, and agency. Those are interesting, but orthogonal to engineering goals.	I actually don't like the word "intelligence". It's highly subjective and culturally mediated. You might as well ask whether machines can be "funny". But again, the emphasis on achieving goals makes me willing to accept the word here.	The same. I have a feeling I'm going to give all these things a "4" unless you stick in some kind of obviously specious distractor.	This one had me with everything but the phrase "we find in humans". I see explicit emulation of human beings as an AI non-goal. A bird is an animal that flies and a plane is a machine that flies, but a plane is not a giant mechanical bird. 	Sure why not?	These statements are all pretty much interchangeable to me.	Let's nitpick: is "rational" the same as "best"? There are plenty of distinctly human activities--riding a bike, playing music, arguably having a conversation--that you will mess up if you're thinking too much about what you're doing while you're doing it.		The purview probably extends beyond assisting humans, but at the moment that is a good practical area in which to focus our efforts.
								
It's good because it leaves out words like "think" that raise distracting philosophical questions.  It may be a little too broad, though; arguably every computer program fits this definition.	I think defining AI is much easier than defining intelligence.  (I like McCarthy's definition.)  Defining intelligence is full of pitfalls.  In this case, for example, a quadriplegic can be really smart but still unable to achieve even simple goals.	There was a time when computers could do really good weather predictions, but they were too slow to get the answer before the time they were predicting about.  Then computers got faster, and now they can do timely predictions.  Do you want to say that the prediction software became intelligent when computers got faster?  This definition is just way too complicated and self-defeating.	In a multiple-choice survey like this, you really can't give whole paragraphs that say several independent things as examples.  I agree that an intelligent system doesn't have to generate optimal behavior; people are a clear example of that.  I also agree that human-level intelligence is a great aspirational goal, but I'm skeptical that it can be achieved in my lifetime, and meanwhile AI software is doing all sorts of useful work.	I have no idea what this is trying to say.	It's a pretty modest definition in that it doesn't give too much detail about what counts as intelligence.  By this definition a dog is intelligent, which I think is right.  If we had an AI as good as a dog, I'd be really happy.	By this definition people aren't intelligent.  Whoever wrote it has clearly never read Freud.	This is not a complete sentence.  If the implied beginning of the sentence is "The ultimate aspirational goal of AI research is..." then I agree with it.  If the beginning is "Practical AI systems are..." then I disagree.	That "unbiased" is a red flag, and "service to humans" is another.  Service to /which/ humans?  Given the expense of building modern AI systems, they are clearly designed to provide service to /rich/ humans, e.g., owners of advertising media, banks, etc.  I /wish/ I lived in the world envisioned by whoever wrote this!
			Humans should not be the ultimate benchmark of intelligence. In my view, a definition of intelligence, if one is possible, should be void of humans.	Too involved and specific.	Seems very broad. What is "foresight"? What about learning from experience?	Rationality is part of intelligence. However, the reference to "situation" makes this definition sound quite myopic.	Yes, but remove "human" (see my earlier comment).	What is "unbiased" guidance? Is that possible? Why only service to humans? What about full autonomy?
