"think rationally" is both narrow and perhaps circular.	Too narrow, and anticipation of consequences is problematic to define precisely and judge.	I don't know if the set of things is the right set, but the idea that it's whatever you have is appealing.	Having it be behavior is fine.  Adaptivity -- too narrow.					
Intelligence, like Race is a cultural construct, not supported by objective evidence.	By that definition, a cannon that is aimed at a target rather than given an azimuth and altitude to fire at would be Intelligent. The cannon is anticipating the possible consequences of firing at a given azimuth and altitude, the desired consequence being hitting the target.	A tautology: intelligence is those things considered intellectual.	It's good in that it focuses on behavior rather than some internal quality/mechanism. On the bad side, choosing Adaptive out of all possible aspects of choice of behavior (for example Predictive) seems too narrow.	Interesting point of view. Omits the essentially social nature of human intelligence.	Uselessly broad and vague.	Again, this definition sounds a lot like attempting to define Race: a complex grab-bag of attributes used to gerrymander who or what is or isn't intelligent.	Arbitrarily chooses two abilities of many.	Ignores the society. Replaces Intelligent behavior with Rational behavior, which seem to me to be very different things.
								
				I don't believe that intelligent behavior is always organized and coherent.				1.  Behaving "rationally" may not be the most intelligent course of action in all circumstances
								
		knowledge acquisition	adaption	self-governance, not like a cat doing things without a reason.			sounds like replicate ability, not the definitive level of intelligence, maybe an early stage. Why not define intelligence in different levels?	
								
	vague. all possible consequences? well, bomb in the room problem.	vague. Are all those terms defined?	this is a characterization, not a definition.	vague		mental?	vague. define ‘figure things out on the spot’ 	
								
								
This is a solid definition because it deals with action, rationality, and the relationship of an agent to its environment, as well as by picking out two aspects of intelligence: its global, per-agent quality (we ascribe intelligence to whole agents), and the fact that it seems to have components.	Anticipating the possible consequences of actions is an aspect of intelligence, though it isn't the whole thing.	This is a good description of some of the things we think might be in intelligence, though it might not be limited to that or could be a distinct property that facilitates these.	I would tweak this definition to say that behavior can have the quality of intelligence, though intelligence might not be limited to behavioral properties.	Good mental self-government is a property of intelligence, though I would not say that we can nail down what the essence of intelligence is.	People who can see relationships and use them to solve problems are often described as intelligence, but that might not be all there is to it.	This is a broad definition that pulls in many of the facets that we observe in people we ascribe as being intelligent, and therefore is most useful because it is concrete without being prematurely restrictive.	Whether intelligence is "clearly" a combination of this is debatable, but we would expect that people who could do these things would be called intelligent.	These are very reasonable definitions of intelligence, though intelligence may not simply be related to goal fulfillment.
						I like that this definition gives example of both what it is and what it is not	I'm not sure that immediacy is that important	
from a survival point of view this is true, if they failed at dealing effectively with their environment they wouldn't survive, but would we then say they are unintelligent? this sounds like a definition for intelligence in successful humans only.	This is part of the requirement for making decisions, which is an element of intelligence. But anticipating or prediction is a very hard problem and not always possible so it's important not to make the definition rely on correct prediction.	this seems meaningless to me	this is a good property for intelligence but not a definition. Also, cannot someone be intelligent yet not very adaptable?		This is one aspect, but not the entirely by a long shot.	This is a good enough start to a definition for human intelligence, but I don't know if it is the goal of AI. Maybe it should be.	I like this one, it has the aspects of adaptability, recognition of context, memory and learning. It still doesn't include decision making, optimization and self-reflection, but it's getting closer.	I don't see the use of such a definition for general human or machine intelligence. This is a very specific type of agent/person who acts optimally. The definition of rational is a loaded term and requires filling in, it is not always clear what it means as it depends on utility and probability and many factors. Goal fulfillment also needs to be clarified, is it preferences? utilities? end goal states?
								
								
This sounds good but lacks the learning aspect, which, in the context of humans as opposed to my AI viewpoint, is probably implied by "deal[ing] effectively". "Think rational" is too vague to be helpful, at least from an AI point of view.	I quite like this. Again, learning is implied. Many aspects of intelligence can be expressed as "anticipating ... possible consequences", including the discovery of a complex mathematical proof, or (other) creative activity. I also like it for its brevity, even if some aspects of intelligence have to be taken to be implicit.	While this sounds good intuitively, it is not helpful to characterize what intelligence allows us to do, how to measure it, or how to design or evaluate AI systems.	This is too narrow. One can think of changing environments containing agents that qualify as intelligent under this definition but are not sophisticated in meaningful ways.	This is a rather introspective definition, which can be misleading in cognitive science and is mostly meaningless in AI.	Applies to closed worlds. Many classical machine learning and data mining systems qualify as intelligent under this definition.	The definition and my reaction resemble those of Question 5.	The definition and my reaction resemble those of Question 6.	Here we're back to a mostly behavioral definition that I'm more comfortable with. It lacks the learning aspect though.
								
		Too narrow						
								
								Intelligence is not an optimization problem, it cannot be represented by an algorithm.
Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.	Saying too much, given the current meanings of words.
	This is insufficient for true intelligence	This is insufficient because the repertoire may be highly limited for a particular individual	Not bad, but part of intelligence is deciding when to adapt					
Rationality is not the aim of intelligence.	The acting and adapting aspects are missing.	The reflexive aspect, i.e. the way to use, combine and modify this repertoire is missing.	The learning aspect is not exposed.	Rationality (suggested by 'coherent' among others) is not intelligence.	Learning and adaptation is missing.	Mental is somehow restrictive.	Reflexive aspect is a little bit missing. Btw intelligence definition is not "clear [...]"	Not (always) an optimal, not (always) rational, not (always) related to an explicit goal. 
	Equates intelligence with prediction.	Too static, misses the adaptation capability itself.	This makes us none the wiser.		Why bring in problems?	Misses the crux.		Shouldn't equate intelligence with optimization.
This definition is poor because it only lists symptoms of intelligence, not a "root-cause" definition.	This definition is incomplete because it does not specify how responses are chosen, given the situation and possible consequence.	This definition is very poor, because it precludes intelligence without long-term memory.	This definition does capture the adaptive essence of intelligence, but does not capture the importance of time horizons as well as "intelligence is a process that maximizes future freedom of action".	This is a circular definition: "intelligence" = "self-government".	This is an almost-circular definition: "intelligence" = "problem-solving".	This definition is a list of symptoms, not a quantitative measure.	This definition is circular and vacuous, since the combination of "figuring things out on-the-spot" and "figuring things out not-on-the-spot" is simply "figuring things out".	This definition is almost circular: "intelligence" = "rational behavior".
								
								
								
Dealing effectively with the environment is important. The other two attributes merely support that.	Prediction (anticipation) is one important aspect of an effective intelligent system.	Too weak to consider.	Adapting to a changing environment is relevant.	"Self-government" is another word for cybernetics, and I believe cybernetics is the correct paradigm in which to understand intelligence. However, the specifics about "organized thought" are irrelevant.	Forming a model of the world is a useful task of intelligence, but certainly not the whole story.	Very weak, in that it is a grab-bag of attributes.		This is more the definition of a rational agent.
								
								
	I strongly agree because it includes situations that do not have to deal with optimization only					Again intelligence is connected to problem solving - to my opinion, intelligence goes beyond that.		
								
			Lots of unintelligent behavior fits this	Focused too much on thought vs action			Agree this describes intelligence but not a good definition	Two sentences don't connect well to each other
								
No notion of learning								
								
					"solve problems" is too narrow; it potentially forces one to consider "play" as "problem solving"			
								
								I am consistently concerned with definitions including the word "optimal"
The diffuse and interconnected nature of this definition appeals to me.	No, whatever "intelligence" is, it must also include sitting on a tree stump and contemplating the shapes of clouds.	Tautology. Intelligence is comprised of those things considered intellectual in nature. Now you have to tell me why I should consider something intellectual.	I like how this makes "intelligence" subservient to "behavior". Full disclosure: my views on this subject are strongly influenced by the writings of Martin Heidegger, who makes a good case for human beings as more "doing" animals than "thinking" animals.	I read Martin Heidegger for fun because I'm really, really intelligent.	Too vague.	I think so, but also TL;DR.	True as far as it goes, but that's more an aspect of intelligence rather than a definition of the whole thing.	I'm dinging anything that uses the word "rational".
								
It doesn't say anything /wrong/, but it's not very satisfying.  A "smart" traffic light with car sensors in the roads qualifies.	Well, this is /one/ kind of intelligence.  It's partly satisfying, and ethically useful.  But, for example, the work of theoretical physicists doesn't really have consequences in the sense this definition means.  Or musicians.	It says "intellectual."  That reflects the classic AI focus on things like playing chess, but not the more modern understanding that even walking on an irregular terrain is hard.	Fails the musician test.  Passes the dog test, though, which is good.	Another author who's never read Freud.	It captures part of the picture; relationships are indeed crucial.  But the "solve problems" part is too intellectual; is that what a musician is doing?	It acknowledges that intelligence is complicated and not really able to be pinned down in a single definition.  I like it the best of any so far in the survey.  But it may be too optimistic; I'm afraid the "think abstractly" part leaves out a large fraction of the human race.	A good partial definition.  I'm not sure it captures what a musician does; "figure out" is too much about puzzles.	Fails the Freud test.  By this definition Trump voters don't exhibit intelligence, which is a tempting conclusion but too narrow.
Too fuzzy, unclear. Essentially useless.	Reference to "situation" appears myopic, also leaves other elements such as "learning".	What is "available at any one period of time"?					Why "on the spot"? Clearly?	
Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). For the general case though I would make the following remarks, some in favor, and other ones against current definition 1, say H1: - The definition of intelligence here would be more appropriate for cognition: “[Cognition] is the … capacity etc..” - “to act” goes beyond cognitive realm, deploys its effects in the real world. - “purposefully” – I strongly agree with that; cognition is impossible (intractable?) without focusing on a purpose; the latter allows for (simple, ad hoc) modeling and for all related cognitive processes. - “to think” has a connotation of human embodiment; to deliberate would do the same for a group, and to process information would convey a connotation of machine-based implementation. Fundamentally, for a cognitive agent, these words are synonyms. - “rationally” is an exaggerated simplification; first, the terms to be considered in a reasoning process (deduction, induction) already suffer from the extreme, ad hoc simplification of models; thus element A in a clause or predicate may in practice be quite different from the corresponding, nominal element A in another clause or predicate, not allowing for firm and crisp conclusions; second, there is more than rationality in cognitive realm, such as intuition, probabilities (re. e.g. Bayes), unconscious reactions, or “gut feelings”. - “to deal with … environment” implies being embedded in real world (embodied), with power management, real time perception, synchronous appraisal of values, and possible, occasional radical changes in modeling and subsequent, corresponding cognitive processes in order to escape critical threats and pick relevant opportunities; this extends far beyond the boundaries of cognition. - I think that in general it is better to define intelligence as one only of the cognitive “elements or abilities which, though not entirely independent, are qualitatively differentiable”.	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). For the general case though I would make the following remarks, some in favor, and other ones against current definition 2, say H2: - Cognition, or more specifically expertise, would be better names for the ability described in definition H2 for intelligence. - Intelligence is (should be defined as) the property to learn; by this token, intelligence implies a low level of initial expertise, expected to raise as experience is acquired. Clearly, when applicable, as DNA in humans, or file copies in digital world, a direct replication of high level of expertise is preferable, short-cutting some possible (too long-lasting, and often uncertain) learning processes. - “individual” in this Definition H2 may be ambiguous; I can see a connotation of referring to a human, especially in this part of the questionnaire? It could be extended to a more universal scope, by stating that “individual” could also apply to an artificial cognitive system? Or a collective entity (group, society)? And if not why (can we point at the discriminating features)?	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). For the general case though I would make the following remarks, some in favor, and other ones against current definition 3, say H3: - Cognition would be a better name for the “repertoire” described in definition H3 for intelligence. - “skill” is a cognitive property (I would rather use the synonym “expertise”, instead): to do right and fast. - “acquired” implicitly refers to “learning”, which is the essential property of intelligence; in this sense the word is quite appropriate in regard to intelligence. But skills may also be implemented without learning, e.g. by DNA replication (re. humans) or digital copying (re. artificial, machine-based cognitive system). -“knowledge” is a cognitive property; it is (it should in my opinion be defined as) the ability to do right, i.e. to deliver the right output information. -“generalization” has not been defined per se in MCS theory of cognition (re. M10).  Either generalization is a property of the particular cognitive domain addressed, then generalization is implicitly done when the delivered information is right, belongs to the domain. Or generalization is an internal process of the cognitive systems, and in that case it is ignored, as we have a behavioral, “black box”, approach. -“intellectual”: the word is not defined, and looks close to “intelligence”, which is the main concept to be defined. I would suggest “cognitive”, but if cognition is the new subject of the sentence, as suggested above, we would have the same tautology problem. “Imaginary” could be a better alternative, as we fundamentally have on one side reality, the real world, which “is” (re. Parmenides) and on the other side the cognitive world, which is purely imaginary, supporting in particular the idea of time, the past, the future, and all kinds of virtual constructs. -“problem solving” re. “generalization” above. Idem. -“available at any one period of time” : this formulation is not so clear for me? I understand it as “implemented in real world”. I would totally agree, and would state it differently: cognition (which supports the imaginary notion of time, and associated visions of past and future) requires a real world engine, an infrastructure, an embedment, an embodiment (reality “is”, totally lies in that “current” imaginary time that keeps passing).	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). In fact even for a general context, I agree with most of this view: - “behavior” : In MCS theory of cognition (re. M10), the model proposed for a cognitive agent is also behavioral, i.e. essentially defined by its input-output function. - “adaptive … changing environment”: implicitly, this seems to refer to the ability to learn, which is the definition of intelligence in MCS. - Notice though that a system could just be expert in a well-known cognitive domain, e.g. a pocket calculator, or a seasoned interpreter,  adapting to incoming data to deliver appropriate, i.e. output information that belong to current cognitive domain. Therefore, I would favor the explicit notion of learning, i.e. the capability to increase expertise level as experience grows to qualify intelligence. - Remember that modeling is a pragmatic process that primarily aims at success in reaching specific goals; any additional claim made for coherence or completeness versus reality (“truth”) would be an obstacle; so it is not necessarily disturbing to have different models. Depending on the particular model retained (the particular cognitive domain observed), the same process may sometimes be validly considered either as intelligent, or as expert; either as learning, or not.	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). Here are some additional comments: - “Intelligence” : in this definition, I would rather use “cognition” for the general scope that is described, keeping the word intelligence for the more specific cognitive property of being able to learn. -“mental”: ok if a connotation of humans is wanted; otherwise, I would recommend the more universal (i.e. equally applicable to humans, machines, groups or subsystems) “cognitive” qualifier. In this particular sentence, to avoid a tautology, the sentence could be rephrased as follows: Cognition relates to the imaginary (or non-physical) aspects of self-management. - “self-government … govern ourselves … internal needs”: the situation is complicated enough; so I would first advocate a behavioral model, i.e. to leave internal aspects inside the black box and focus on input and output elements; on agent’s general behavior in the real-world, in its “environment”. - “mental self-government”: this is not very clear to me; I understand it in a way that exceeds cognitive domain. To make my point more clear, I would first distinguish three domains: 1. the real-world, where power and other physical properties prevail, and which I strongly associate with the concept of “actions”; the laws of physics apply. 2. the cognitive world, where notably “intelligence”, “thoughts” and the laws of logic are core entities, non-physical, of imaginary nature. 3. a mixed world where the laws of values primarily apply; where all depends on critically avoiding threats and picking opportunities; where keeping synchronous, monitoring the “environment” adapting current goals is the key. Domains 1 and 3 can be taken into consideration in the fascinating domain 2, but via modeling only, i.e. in infinitesimal terms, and with a high risk of mismatch (re. grounding problem). By this token, intelligence should only be considered in domain 2 (cognitive domain). Self-governance by contrast implies also domains 1 and 3. Embodiment in real world, including synchrony and perception, appraising values, and occasionally updating (current) goals and consequently modelling approaches, corresponding cognitive processes, and perhaps launching appropriate actions also in real-world. - “coherent, and responsive to … the environment”: same remarks as in previous point, H4, paragraph “adaptive … changing environment” and following ones.	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). In general terms, I would suggest to be more specific: in MCS theory for cognition, “the ability to see relationships and … solve problems”  is  (is defined as) knowledge (ability to deliver the right information, to do right). If speed were moreover taken into account, we could define expertise. And if this expertise would be reported as growing, we could define learning, which is the essential quality of intelligence (as defined in MCS model for cognitive sciences).	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). Here are some additional comments: - “Intelligence” :  in this definition, I would rather use “cognition” for the general scope that is described, keeping the word intelligence for the more specific cognitive property of being able to learn. -“mental”: ok if a connotation of humans is wanted; otherwise, I would recommend the more universal (i.e. equally applicable to humans, machines, groups or subsystems) “cognitive” qualifier. In this particular sentence, to avoid a tautology, the sentence could be rephrased as follows: Cognition is a very general capability relating to imaginary (non-physical) representations that …”. - “… involves the ability to reason, plan, solve problems, think abstractly, comprehend complex ideas, learn quickly and learn from experience” I agree that these are all cognitive notions; specifically, the last expression “learn from experience” is precisely expressing the essence of intelligence (in MCS theory of cognition ; re. M10), - “book learning, or test-taking smarts” refer to features and processes internal in agents, or methods of implementation, which are not the primary topic addressed in this questionnaire. At this point the behavioral, black-box approach deserves priority as it focusses better on the selected goal. - “… comprehending our surroundings — “catching on,” “making sense” of things, or “figuring out” what to do.”: these operations stretch beyond the field of cognition. They require immersion in real world, “synchrony”, and imply elements orthogonal to cognition – reality, values, goal-setting. In particular for modeling (designing a representation to bridge on one side the real world, and on the other side, the imaginary, cognitive world), there are essentially two approaches: first, replicate best practices, and second, when none is available, let chance do. The process of “making sense” precisely imply the very challenging task of connecting an infinitesimal representation in cognitive world to the infinitely complex corresponding element in real world that it is meant to represent.	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). Here are some additional comments: - “intelligence is … the ability to ‘figure things out on the spot’ is very elliptic, but I would agree if this means an ability to learn, i .e. to increase knowledge as time (experience) goes. - “repeat things that have been figured out in the past” on the contrary looks like knowledge (to deliver the right information, to do right) or, taking also into account a certain speed, expertise (common synonyms: know-how, skill, competence).	Ok in some particular contexts (re general remark in section 10 of Machine intelligence, say M10). Here are some additional comments, with the goal of achieving a general definition of intelligence in mind: - This question, H9, refers to many concepts, with a large scope, and here intelligence does not look appropriately defined (i.e. specifically, for applicability in a general case). - “To think … rationally “ are terms that relate to cognition, an appropriate context for the concept of intelligence. -The terms  “behave … action … practical affairs …individual’s goal fulfillment” though refer to the domain of reality and to the domain of values and thus are not strictly confined in the cognitive domain, where intelligence plays an important role. -“… optimal … optimization”: optimization in general refers to a criterion, which looks very good, but that criterion may not be critical or even relevant for some applications though.  Here the criteria are given as “optimal behavior in the domain of practical affairs” or “individual's goal fulfillment”. And this is precisely, in H9 author’s view, intelligence. Why not avoid talking about optimization, and simply provide instead a quantized estimation of intelligence (i.e. here, of behavioral goodness, or of goal fulfillment)?  “Intelligence” is not (should not be defined as) a behavior. It is (should in my opinion be defined as) a quality, the ability (of a cognitive agent) to learn as time (or experience) goes, i.e. to increase expertise, to do (to deliver information) more and more right and fast.
	Confuses intelligence with knowledge	Again, confuses intelligence with knowledge	True, but not a definition.	Interesting.  I'll have to think about this one.				
								
								
A bit vague, but incorporates a concept of goal or purpose along with a (somewhat vague) concept of adaptation.	Too narrow -- anticipation is not the only mechanism for adaptation.	Circular -- builds an assumed definition of intelligence back into the definition via the word intellectual.  	Too much remains implicit here (what are the demands of a the changing environment -- note that these are all related to maintaining system integrity in the face of entropic forces), but this is better.	Assumes mentality as critical without definition of the "mental," (conscious? representational?) and idea that environment has needs seems really off base.	Simultaneously too vague and too narrow.	General direction is good, but the fact that so many defining terms are delivered in scare quotes suggests lack of clear definition.	Again, vague and narrow, combined with use of scare quotes indicating lack of clarity in the thinker's own head.	This begins to get closer.
								
This isn't a very accessible definition. Even if it's true, it contains too much jargon and not enough substance.	This seems too in-the-moment, and it lacks several important aspects of intelligence. Also, this could be made more inclusive by using "his or her" or some gender-neutral version of the same idea.	All of these things seem like different types of knowledge, rather than intelligence. Intelligence is the capacity to *use* such knowledge effectively.	Framing intelligence as dependent on behavior is good, but the rest of it is not specific enough.	This "mental self-government" seems more like self-awareness and perhaps consciousness, rather than intelligence per se. Intelligence may not require such self-awareness and consciousness, but in any case, intelligence is much broader.	Much too narrow. These are things that intelligence enables, but they are not intelligence itself.	This is pretty good, although it's not very precise. Get rid of all the air-quotes, and replace those phrases with more precise language.	Again, this isn't exactly false, but it doesn't capture the full extent of intelligence.	This is too vague and imprecise, and the excessive use of jargon makes it relatively inaccessible.
								
								
tangential	too specific				too narrow	no a definition, just a list of examples	"clearly" is really not appropriate for a definition of intelligence	rationality and intelligence are not the same thing for me.
		Kind of self-referential, but works.		Doesn't need to be an explicit thought process to be intelligent.	Only one facet.		Kind of narrow.	We're far from optimal.
					This is only one sub-goal			
								
								
								
	When we build AI Minds, we include a Volition Module which initiates a motor action for a "given situation" only when the "possible consequences" in favor of an action outweigh the negative consequences. 		Yes, but... so what?		Our AI Minds establish concepts as "relationships" between perceived entities.		Our AI Minds constructed heretofore in software include a lifelong AI memory channel of sensations and conceptualizations.	
								
Philosophical mish mash	better formulation : a system's...	common sense	too vague: quality of behavior is incorrect, externally observed in the quality... is better.	anthropocentric	too vague		vague	2 capabilities are conflated: intelligence and "courage"
				It feels to early to claim to know the "essence" of intelligence.				Why only the individual's goals?
but not think rationally		above statement is incomplete. Intelligence is all the above, but also to create entirely new repertoire of skills that are not available at that instant.						
								
"thinking rationally" is, maybe, almost as vague as "intelligence"		I can't think of any trait that, for me, characterize intelligence that cannot be described in this way, except maybe for the "acquired" modifier, which seems beyond the point.	I don't think intelligence is restricted to behavior. Long-term vision, or global understanding of complex issues with the ability to connect the dots between information across domains are not behaviors and I consider them to be part of intelligence.	I don't think it is very useful.	I can't think of any trait that, for me, characterize intelligence (from street smarts to common sense or social or intellectual abilities) that cannot be described in this way.	Is this a definition?	Not bad, but very vague. 	I don't think intelligence is restricted to behavior.
								Neither rationality nor optimality is the same as intelligent, and in fact counter-examples of equivalence exist in each quadrant. This is a definition from the psych side, not the computer science side.
								
								
What is meant by 'the individual'? Is individuality necessary for intelligence?	We can never definitively understand the possible consequences of any action, which propagate endlessly in both space and time.	Once again, why is this limited to individuals? Why not systems of individuals, systems of systems, of systems ... etc.?	Does behavior include symbolic manipulations, such as the creation of theories or the performance of abstract mathematics?	Most behavior is socially and culturally conditioned rather than chosen. We are governed largely by unconscious habits. Does this mean that most of our behavior is unintelligent? Maybe it does ...	It is an element of intelligence, but certainly not all of it.	Yes, I would more specifically state that high levels of intelligence require the ability to find things meaningful.	What does 'figure out' mean? Does it include the behavioral responses of microbes?	Why should "practical affairs" monopolize intelligence?
There are too many dependent definitions required. What does it mean to be purposeful?	What does it meant to anticipate?							
OK but again presumes definitions of purpose & rationality	gender bias, implied explicit access to model justifying action. much intelligence is evolved, with no understanding anywhere of why it works.	"acquired" doesn't buy you anything and implies that you aren't born (or designed for AI) with perceptual limits that benefit your intelligence.	Is this Winston?  Anyway, this is exactly what I was taught at Edinburgh. Very effective, connects well to Dennett.	I kind of like this  one though it is again more ritualized than necessary.	OK as a component, doesn't capture much of the phenomenon	this is pretty good but again overlooks embodiment, evolution/design etc.	again not a full definition but more accurate than a lot of the above.	that's OK to define rationality, but again that's only one component of intelligence.
								
It leaves out things like scientific, mathematical, philosophical, musical intelligence.						There's a lot more to think about than our surroundings. Talk to a mathematician.		There are rarely unique optimal solutions to hard problems. In many case optimality isn't even meaningful, e.g. in many hard moral problems. (Ask a good moral philosopher.)
								
	It involves running its model to choose actions to optimize the future.	Intelligence decreases with age of humans.	Learning from experience is an essential element of intelligence.	Most of us act instinctively, by gut reaction.	Relationships must include input-output relationships of operators.		It involves both fast and slow thinking.	It's not necessarily optimal.  It's good enough.
								
								
I like this one. It misses to explain purposefully. Rational and effective interaction with your environment is subject to someone’s subjective evaluation, so it's hard to quantify and to reason about a superior intelligence.	Quite good, includes learning and reasoning in a nice indirect way. Makes it hard to measure but is nice and concise.						No need for 'on the spot' and no reference to learning.	
								
								
								
unintelligible, too long and waffly				maybe? a bit incoherent and general 	Clear and concise	There is no need to setup a definition of intelligence in opposition to perceived anti-intellectualism 		Rationality and intelligence are not the same thing.
Sounds like someone is making laundry.	Partially true, but insufficient and too coarse.	This sounds like IQ where memory is favored over learning ability.	Behavior is vague but suggests embodiment only and ignores the importance of mental representation, i.e. modelling of body/environment		A part of some intelligent systems (including human) surely.	laundry list...	folk theory	far from every needing to be optimal - sufficiency is the rule.
								
								
This is Minsky, isn't it? I generally agree with the definition, but I have come to believe that rationality, while a quality of an intelligent actor, is not a NECESSARY quality of an intelligent actor.	Anticipating possible consequences (not necessarily rationally, but also possibly instinctively) means that the individual is able to include itself in its model of the world.							This is getting repetitive.
								
As before, I am not convinced by the marriage of rationality and intelligence. Purpose, efficacy, and the highlighting of aggregation are useful and important, though.		Very interesting! I personally would make a difference as the ability to acquire those skills/knowledge etc. and the actual set acquired, which strikes me more as akin to education...BUT I might be completely wrong about that!			I'd have to think about this definition some more.	I agree but I am not sure that I find this definition useful.	A bit vague.	This definition tempers rationality with goals and beliefs, which helps. But intelligence = optimality strikes me as too restrictive, and I don't see a clear connection between the first and second part of the definition.
								
								
								
rationality is not the only way to proceed.								
Far too limited. Action is not needed - someone may be paralyzed but still be intelligent  	That is learning but might simply be "a rat recognizing a trigger for food". Intelligence calls for more reasoning.	Intelligence is an individual's usage of their "entire repertoire........time"	Rubbish	Very good but omits "Learning and reasoning that straddles multiple dimensions.	This is just one of the abilities	Hoorah! delete "mental" and "our surroundings" and it covers Human and Artificial Intelligence	This is a part of intelligence but not all.	Think but no need to behave. It also fails to cover thinking about someone else and thinking about intangibles, unreachable and abstractions. e.g. A scientist uses intelligence to decide whether to change the trajectory of a satellite. A valuer uses intelligence in considering/ deciding whether a work of art is authentic.
								
								
qualitatively differentiable is meaningless in this context	this is just planning	too focused on an instant	too much emphasis on change and no internal thought	emotion is not a positive governing force; this feels more like a definition of mind	too narrow	too passive…have to be able to act and innovate from all that knowledge	where's the ability to learn new things?	intelligence is rarely optimal
								
This does not address learning or adaptability, nor does it identify the distinguishing characteristics of intelligence or what guides it. 	This is necessary, but not sufficient.	Intelligence is primarily determined by outcomes not capacity. This definition is all about capacities, not putting them together to deliver desirable outcomes.	Not specific enough. Again, a car's cruise control system qualifies under this definition. 	Again, the degree of intelligence is based on outcomes. Here, intelligence is an element of a control system.	Necessary, but not sufficient. Every vertebrate animal has this capability, yet we can distinguish degrees of intelligence - so there must be more to it. We can also do this with machine learning systems for constrained problems and they do not approach human intelligence.	This is a laundry list of capabilities consistent with intelligence. It fails to capture  how these arise or the essential components of intelligence.	This is so vague as to be meaningless.	Optimality is rarely achieved by anyone or anything, so this word should be struck from any definition. Reference to goal fulfillment is important because it includes outcomes. 
	I am not sure we do a lot of anticipation.						loose but clear	Rationality is probably an illusion.
Acting, thinking and dealing are relevant actions, but they seem to limit the definition to these three actions.	It seems incomplete to me; the anticipation might also be achieved by learning from past actions		Even within a constant environment, an agent may show intelligent behavior		One can see relationships where there are none; what about discerning and reasoning about said relationships?	I like that the definition agrees to be incomplete, for example by using "among other things"	One can still figure things out after some time rather than on the spot, in case of complex problems	It seems to me that the ability to reason about those goals and beliefs is also important
								Optimal is too strong
								
If we drop "think rationally part" or even change "think" to act, single-cell organisms would be considered intelligent. No offense to our single-cell fellas.	It is rather a corollary of an agent being intelligent. However, humans, often considered intelligent, do not always follow this rational incentive to think about consequences. 	Intelligence is a sum of somewhat intellectual. Keep going.	I like the idea that intelligence is a quality, quite likely a continuous one. But once again, single-cell organisms turn out to be quite intelligent.	The essence of this definition is internally driven by some thought-framework that only increases entropy around intelligence 	Still trying to define something through other things that will have their complex definitions. In particular, is survival instinct a form of intelligence? (it looks and feels so actually) Does survival instinct predate seeing relationships and problem solving? (don't answer, we are in a really grey territory here)	And it is general enough that we cannot define it. 	It can be yet another corollary of an agent being intelligent. But not the other way around. 	Is it only about practical affairs and optimization? I knew that my grid-searches are truly intelligent. P.S. Rationality is called this way because it doesn't require beliefs other than strict decision problem formulation. 
								
This definition is not general enough	This definition is not general enough	This definition is not general enough		This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough	This definition is not general enough
								Where do goals and beliefs come from?
								
ok, but we still have to define "action", "belief", "practical" and "goal". If the definitions are supposed to be the general definitions of these terms then I am not ok with the statement.		I would not limit the definition to its actions but to all possible actions and also to all possible connections between knowledge objects (a knowledge object would be an item that means something for this agent: a currency for a human does not mean anything as a "thing")		Too many hypothesis in the definition	I do not consider intelligence as a conscious homunculus in the brain. 	Not a definition but sure.	sure! not very helpful but sure.	not necessarily, here the intelligence is assimilated to the knowledge, which I think are two different aspects. Intelligence should include the acquisition and the usage of knowledge, but should not be assimilated to the knowledge itself (in my opinion).
								
	I really like this one... maybe expand to add some semblance of rationality 		a quality of behavior? I'm not so sure.					
note the sexist use of "his"	it discusses only one element of intelligent,		it discusses only one element of intelligent, and poorly at that.					
This writer has some agenda or lens that has led these words to be phrased in this awkward way. Not sure what it is, though. 	Possibly good, but needs to avoid "his" to be gender neutral. Also could include anticipating others' actions. 	Too focused on the one human's head and not related to social interactions or interactions with the environment. 	This is a little simple, but seems accurate. Still wish it included other entities like people. 	Nothing about interaction with other people. 	Ok, but not rich enough. 	Better than the above definitions, but still nothing about interaction with others. 	Not rich enough. 	Humans don't optimize and aren't rational See Kahmeman & Tversky.
								
								
								
								
								
Intelligence is interaction and transformation with the environment	Effective solutions deals with avoiding obstacles 	I repeat, intelligence is proportional to  optimality of found solutions	Not just to adapt, but adapting the environment to own gains	Intelligence is not related with self-consciousness	I repeat, pattern recognition is an essential intelligence element	I repeat, intelligence is proportional to  optimality of found solutions	Pattern recognition is an essential intelligence element	I repeat, intelligence is proportional to  optimality of found solutions
	Only a partial definition.			Mental self-government is one ability among many.	Only a partial definition.		Only a partial definition.	
								
